No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
1037,2010-02-11T11:31:00,2010-02-12T11:00,42,0.14 - 0.42 µm,1.119,0.0737,0.079,0.0194,0.0046,0.0421,0.0758,0.0049,0.3886,0.005,<0.0002,0.098,0.071,0.17,4,0.07,0.26,0.05,0.045,1.34,0.11,0.09,0.49,0.048,0.013,0.005,0.084,0.046,0.04,0.011,0.018
1038,2010-02-11T11:31:00,2010-02-12T11:00,42,0.42 - 1.2 µm,4.692,0.4268,0.0089,0.0279,0.0489,0.1097,0.5977,0.0718,0.3764,0.009,<0.0002,0.104,0.048,0.152,36.86,1.19,0.15,0.53,0.913,21.4,0.03,<0.048,0.44,0.044,0.012,0.024,0.799,0.057,0.488,<0.0036,0.113
1039,2010-02-11T11:31:00,2010-02-12T11:00,42,1.2 - 3.5 µm,24.697,3.2871,0.0042,0.1372,0.4193,0.4847,5.2516,0.6536,1.0231,0.0221,0.002,0.164,0.03,0.194,240,22.28,0.6,0.49,5.633,268.57,0.27,0.27,0.83,0.149,0.079,0.101,5.182,0.485,3.619,0.568,0.889
1040,2010-02-11T11:31:00,2010-02-12T11:00,42,3.5 - 10 µm,43.95,7.8761,0.0159,0.3506,1.0589,0.68,13.7758,0.391,2.1619,0.0087,0.0222,0.22,0.033,0.253,342.86,37.26,0.7,0.77,4.501,346.66,0.35,0.35,0.82,0.186,0.089,0.005,7.465,0.721,3.915,0.873,1.045
1041,2010-02-12T11:30:00,2010-02-13T11:21,42,0.05 - 0.14 µm,0.172,0.0131,<0.0006,<0.0006,0.0025,0.0365,0.04,0.004,0.021,<0.0002,<0.0002,0.06,0.011,0.071,2.27,0.02,0.01,0.07,<0.0096,0.3,<0.0144,0.08,0.36,0.029,<0.003,0.001,<0.0372,<0.0048,0.033,0.007,<0.006
1042,2010-02-12T11:30:00,2010-02-13T11:21,42,0.14 - 0.42 µm,0.972,0.0372,0.0393,0.009,0.0043,0.0391,0.0418,0.0058,0.2313,0.0013,<0.0002,0.067,0.034,0.102,3.44,0.04,0.35,0.31,0.02,0.79,0.15,0.07,0.48,0.038,0.007,0.008,0.078,0.036,<0.0048,<0.0036,<0.006
1043,2010-02-12T11:30:00,2010-02-13T11:21,42,0.42 - 1.2 µm,1.638,0.2737,<0.0006,0.0085,0.0244,0.0473,0.3688,0.0345,0.2897,0.0043,<0.0002,0.071,0.125,0.196,16.65,0.45,0.15,0.09,0.095,5.15,0.02,0.05,0.43,0.05,0.011,0.025,0.385,0.02,0.16,0.028,<0.006
1044,2010-02-12T11:30:00,2010-02-13T11:21,42,1.2 - 3.5 µm,8.755,1.8082,0.0015,0.0654,0.2168,0.105,2.9498,0.3341,0.4776,0.007,0.0028,0.116,0.013,0.129,42.28,1.73,0.06,0.06,0.287,19.59,0.02,0.12,0.59,0.048,0.023,0.051,0.786,0.029,0.296,<0.0036,0.074
1045,2010-02-12T11:30:00,2010-02-13T11:21,42,3.5 - 10 µm,25.236,5.6059,0.0155,0.2343,0.7493,0.3048,9.6325,0.2567,1.3358,0.0029,0.0236,0.202,0.049,0.25,86.32,2.18,0.05,0.17,0.193,18.14,<0.0144,<0.048,0.14,0.019,0.016,<0.001,2.069,0.02,0.102,<0.0036,0.071
1046,2010-02-13T11:38:00,2010-02-14T11:12,42,0.05 - 0.14 µm,0.11,0.0196,<0.0006,<0.0006,0.0026,0.0364,0.036,0.0032,0.0119,<0.0002,<0.0002,0.051,<0.010,0.056,3.25,0.09,0.01,0.33,<0.0096,0.74,<0.0144,<0.048,0.3,0.023,<0.003,0.001,0.067,<0.0048,0.038,<0.0036,<0.006
1047,2010-02-13T11:38:00,2010-02-14T11:12,42,0.14 - 0.42 µm,1.098,0.0202,0.0186,0.0029,0.0015,0.0144,0.0284,0.0042,0.1495,0.0015,<0.0002,0.086,0.025,0.111,2.82,0.04,0.23,0.17,0.019,0.92,0.1,0.07,0.41,0.03,0.005,0.005,0.046,0.017,0.048,0.01,0.011
1048,2010-02-13T11:38:00,2010-02-14T11:12,42,0.42 - 1.2 µm,1.231,0.1551,<0.0006,0.0023,0.0136,0.0424,0.23,0.0239,0.1699,0.0022,<0.0002,0.077,0.016,0.094,10.3,1.21,0.14,0.36,0.12,10.71,0.02,<0.048,0.31,0.035,0.006,0.021,0.262,0.023,0.119,0.02,0.027
1049,2010-02-13T11:38:00,2010-02-14T11:12,42,1.2 - 3.5 µm,5.476,0.9838,<0.0006,0.0347,0.1143,0.0738,1.7446,0.2554,0.3115,0.0082,0.0011,0.092,0.013,0.105,52.43,2.51,0.1,0.12,0.483,27.15,<0.0144,0.05,0.34,0.045,0.041,0.055,1.066,0.032,0.173,<0.0036,0.101
1050,2010-02-13T11:38:00,2010-02-14T11:12,42,3.5 - 10 µm,15.207,2.9319,0.0066,0.1093,0.3865,0.2047,5.4061,0.1775,0.674,0.0013,0.0071,0.114,0.019,0.133,75.38,2.96,0.06,0.1,0.227,27.79,<0.0144,<0.048,0.17,0.037,0.007,<0.001,1.487,0.082,0.131,0.467,0.064
1051,2010-02-14T11:30:00,2010-02-15T11:05,42,0.05 - 0.14 µm,0.167,0.0106,<0.0006,<0.0006,0.0008,0.0354,0.0394,0.0029,0.0135,<0.0002,<0.0002,0.068,<0.010,0.076,3.02,0.03,0.04,0.05,0.01,0.34,0.03,0.08,0.39,0.032,0.003,0.001,0.043,<0.0048,0.037,0.007,0.014
1052,2010-02-14T11:30:00,2010-02-15T11:05,42,0.14 - 0.42 µm,0.491,0.0205,0.0237,<0.0006,0.0013,0.0488,0.0474,0.0041,0.1256,0.0006,<0.0002,0.052,0.019,0.071,2.41,0.01,0.17,0.22,0.173,0.39,0.21,0.06,0.38,0.035,<0.003,0.006,0.037,0.01,0.023,<0.0036,<0.006
1053,2010-02-14T11:30:00,2010-02-15T11:05,42,0.42 - 1.2 µm,0.934,0.1022,<0.0006,<0.0006,0.0135,0.0541,0.1949,0.0269,0.0734,0.0008,<0.0002,0.082,0.014,0.097,6.46,0.05,0.04,0.04,0.052,1.27,0.02,0.06,0.35,0.032,0.005,0.013,0.126,0.008,0.062,0.011,0.009
1054,2010-02-14T11:30:00,2010-02-15T11:05,42,1.2 - 3.5 µm,4.568,0.7263,0.0012,0.015,0.0725,0.113,1.3257,0.1629,0.1466,0.0011,<0.0002,0.101,0.016,0.117,30.05,0.19,0.01,0.03,0.183,4.01,0.02,0.07,0.32,<0.0228,<0.003,0.029,0.572,0.004,0.073,<0.0036,<0.006
1055,2010-02-14T11:30:00,2010-02-15T11:05,42,3.5 - 10 µm,11.243,2.6767,0.0074,0.0899,0.3666,0.2649,4.5571,0.0932,0.5607,0.0007,0.0015,0.093,<0.010,0.102,83.64,2.55,0.04,0.08,0.391,16.99,<0.0144,0.01,0.14,0.033,0.013,<0.001,2.01,0.014,0.145,<0.0036,0.06
1056,2010-02-15T11:30:00,2010-02-16T11:26,42,0.05 - 0.14 µm,0.238,0.0116,<0.0006,<0.0006,<0.0006,0.0063,0.0325,0.0022,0.0037,<0.0002,<0.0002,0.037,<0.010,0.037,3.86,0.05,0.02,0.8,<0.0096,0.59,<0.0144,0.3,1.21,0.038,0.006,<0.001,0.039,<0.0048,0.249,0.014,0.012
1057,2010-02-15T11:30:00,2010-02-16T11:26,42,0.14 - 0.42 µm,0.778,0.0433,0.0019,<0.0006,0.0025,0.0114,0.0298,0.0029,0.1325,0.0005,<0.0002,0.056,<0.010,0.059,6.52,0.06,0.15,0.1,0.012,1.15,0.05,0.31,1.26,0.069,0.01,0.001,0.078,<0.0048,0.251,<0.0036,<0.006
1058,2010-02-15T11:30:00,2010-02-16T11:26,42,0.42 - 1.2 µm,2,0.4017,<0.0006,0.0039,0.0402,0.034,0.6365,0.0271,0.1591,0.0016,<0.0002,0.048,<0.010,0.048,13.07,0.03,0.03,0.06,0.033,0.66,0.02,0.31,1.2,0.04,0.015,0.018,0.296,<0.0048,0.266,<0.0036,0.01
1059,2010-02-15T11:30:00,2010-02-16T11:26,42,1.2 - 3.5 µm,11.497,3.0918,<0.0006,0.0995,0.4315,0.1961,5.1622,0.2641,0.9233,0.0148,0.001,0.213,0.089,0.302,45.01,0.09,0,<0.0336,<0.0096,1.81,<0.0144,0.06,0.4,0.032,0.011,0.031,1.023,0.01,<0.0048,<0.0036,0.009
1060,2010-02-15T11:30:00,2010-02-16T11:26,42,3.5 - 10 µm,29.959,8.2005,0.0259,0.3164,1.1768,0.4561,13.7157,0.1193,2.0969,0.0023,0.0191,0.199,0.041,0.239,0,0,0,0,<0.0096,0,<0.0144,<0.048,0,0,<0.003,<0.001,<0.0372,0,<0.0048,<0.0036,<0.006
1061,2010-02-16T11:45:00,2010-02-17T11:12,42,0.05 - 0.14 µm,0.138,0.0162,<0.0006,<0.0006,0.002,0.0339,0.0345,0.0022,0.0151,<0.0002,<0.0002,0.062,0.011,0.073,3.53,0.14,0.02,0.04,0.007,1.11,<0.0144,0.41,1.35,0.041,0.008,0.002,0.051,<0.0048,0.262,<0.0036,0.021
1062,2010-02-16T11:45:00,2010-02-17T11:12,42,0.14 - 0.42 µm,0.686,0.0388,0.0205,<0.0006,0.0034,0.0163,0.0234,0.0046,0.1861,0.001,<0.0002,0.038,<0.010,0.042,4.78,0.04,0.25,0.17,0.012,0.66,0.1,0.32,1.19,0.065,0.011,0.002,0.078,0.006,0.271,0.016,<0.006
1063,2010-02-16T11:45:00,2010-02-17T11:12,42,0.42 - 1.2 µm,1.961,0.4418,<0.0006,0.0104,0.0462,0.031,0.6909,0.0353,0.2238,0.0043,<0.0002,0.048,<0.010,0.054,17.74,0.02,0.05,0.1,0.011,0.73,0.02,0.31,1.18,0.064,0.006,0.029,0.446,0.005,0.326,<0.0036,0.011
1064,2010-02-16T11:45:00,2010-02-17T11:12,42,1.2 - 3.5 µm,10.361,2.7492,<0.0006,0.0897,0.3903,0.1383,4.5102,0.3074,0.8179,0.0158,0.004,0.089,0.06,0.149,44.21,0.17,0,<0.0336,<0.0096,2.69,<0.0144,0.13,0.37,<0.0228,0.009,0.013,0.915,0.006,<0.0048,<0.0036,<0.006
1065,2010-02-16T11:45:00,2010-02-17T11:12,42,3.5 - 10 µm,33.696,8.5827,0.0568,0.3327,1.2514,0.4323,15.7211,0.1704,2.2633,0.0016,0.0352,0.152,0.015,0.167,0,0,0,<0.0336,<0.0096,0,<0.0144,<0.048,0,<0.0228,<0.003,<0.001,<0.0372,<0.0048,<0.0048,<0.0036,<0.006
1071,2010-02-17T11:31:00,2010-02-18T11:12,42,0.05 - 0.14 µm,0.284,0.0233,0.0011,<0.0006,0.0027,0.0356,0.0439,0.0015,0.0221,<0.0002,<0.0002,0.052,<0.010,0.06,3.9,0.17,0.04,0.03,<0.0096,0.93,<0.0144,0.3,1.25,0.045,0.004,0.001,0.044,<0.0048,0.086,<0.0036,0.05
1072,2010-02-17T11:31:00,2010-02-18T11:12,42,0.14 - 0.42 µm,0.715,0.0306,0.0604,<0.0006,0.0038,0.0397,0.0365,0.0025,0.2629,0.0043,<0.0002,0.082,0.04,0.123,3.53,0.04,0.23,0.17,<0.0096,0.6,0.07,0.34,1.22,0.093,0.011,0.004,0.059,0.009,0.188,<0.0036,<0.006
1073,2010-02-17T11:31:00,2010-02-18T11:12,42,0.42 - 1.2 µm,1.93,0.3859,0.003,0.0072,0.0375,0.0539,0.5029,0.0321,0.3665,0.0078,<0.0002,0.08,0.009,0.089,16.34,0.09,0.06,0.02,0.015,1.28,<0.0144,0.29,1.21,0.045,0.019,0.008,0.33,0.008,0.246,0.009,0.039
1074,2010-02-17T11:31:00,2010-02-18T11:12,42,1.2 - 3.5 µm,9.929,2.5173,<0.0006,0.0767,0.3379,0.1779,4.2194,0.3526,0.7717,0.0219,0.0013,0.125,0.018,0.143,44.92,0.54,0,0.01,0.029,4.71,0.02,0.11,0.38,0.025,0.007,0.01,1.099,0.008,<0.0048,<0.0036,<0.006
1075,2010-02-17T11:31:00,2010-02-18T11:12,42,3.5 - 10 µm,29.642,6.9612,0.03,0.2678,1.0103,0.3816,11.4217,0.1802,1.7983,0.0013,0.0194,0.233,0.018,0.252,116.24,2.33,0.04,0.2,0.16,16.61,<0.0144,<0.048,0.12,0.019,0.01,<0.001,3.73,0.023,<0.0048,<0.0036,<0.006
1076,2010-02-18T11:32:00,2010-02-19T11:10,42,0.05 - 0.14 µm,0.199,0.0411,<0.0006,<0.0006,0.0042,0.0271,0.0719,0.0025,0.013,<0.0002,<0.0002,0.053,0.016,0.07,3.14,0.04,0.01,0.19,0.012,0.57,<0.0144,0.31,1.23,0.043,0.003,0,0.045,<0.0048,0.218,<0.0036,<0.006
1077,2010-02-18T11:32:00,2010-02-19T11:10,42,0.14 - 0.42 µm,0.662,0.1697,<0.0006,<0.0006,0.0106,0.0459,0.2139,0.002,0.175,0.0012,<0.0002,0.066,0.014,0.079,6.35,0.01,0.04,0.13,0.008,0.57,0.02,0.33,1.23,0.065,0.01,0.004,0.145,<0.0048,0.308,<0.0036,<0.006
1078,2010-02-18T11:32:00,2010-02-19T11:10,42,0.42 - 1.2 µm,3.891,0.9724,<0.0006,0.0248,0.1129,0.1009,1.666,0.0467,0.3386,0.0028,<0.0002,0.07,<0.010,0.079,30.6,0.06,0.01,0.2,0.006,0.92,<0.0144,0.31,1.18,0.026,0.016,0.019,0.764,<0.0048,0.205,<0.0036,<0.006
1079,2010-02-18T11:32:00,2010-02-19T11:10,42,1.2 - 3.5 µm,19.104,4.9602,0.0045,0.1901,0.7424,0.2862,8.0679,0.2509,1.4208,0.008,0.0081,0.102,<0.010,0.107,121.9,0.44,0,0.04,0.013,5.38,<0.0144,0.1,0.42,<0.0228,0.015,0.014,2.9,0.011,<0.0048,<0.0036,<0.006
1080,2010-02-18T11:32:00,2010-02-19T11:10,42,3.5 - 10 µm,35.168,9.0315,0.0199,0.3679,1.2608,0.4384,15.9138,0.0725,2.3624,0.0012,0.0313,0.183,0.019,0.202,,,,,,,,,,,,,,,,,
1081,2010-02-19T11:30:00,2010-02-20T11:05,42,0.05 - 0.14 µm,0.225,0.0389,<0.0006,<0.0006,0.0049,0.0434,0.0755,0.003,0.0189,<0.0002,<0.0002,0.068,<0.010,0.069,,,,,,,,,,,,,,,,,
1082,2010-02-19T11:30:00,2010-02-20T11:05,42,0.14 - 0.42 µm,0.74,0.1436,<0.0006,<0.0006,0.0131,0.069,0.1416,0.0032,0.2171,0.0019,<0.0002,0.068,<0.010,0.078,6.65,0.03,0.03,0.09,0.006,0.51,0.02,0.34,1.24,0.068,0.013,0.001,0.14,<0.0048,0.272,<0.0036,0.016
1083,2010-02-19T11:30:00,2010-02-20T11:05,42,0.42 - 1.2 µm,5.587,1.3816,<0.0006,0.0366,0.1552,0.0596,2.4623,0.0435,0.4119,0.0036,0.0023,0.057,<0.010,0.059,33.66,0.11,0.01,0.03,0.007,1.02,<0.0144,0.29,1.17,0.034,0.016,0.008,0.754,<0.0048,0.246,0.015,<0.006
1084,2010-02-19T11:30:00,2010-02-20T11:05,42,1.2 - 3.5 µm,24.029,5.9632,0.0081,0.2336,0.8486,0.2682,10.5424,0.285,1.747,0.0099,0.022,0.069,0.01,0.08,139.36,0.15,0.01,0.04,0.026,2.11,0.02,0.37,1.53,0.027,0.026,0.024,3.265,0.006,0.076,<0.0036,0.028
1085,2010-02-19T11:30:00,2010-02-20T11:05,42,3.5 - 10 µm,46.373,11.4396,0.0425,0.5077,1.6546,0.5314,19.9679,0.1379,3.0578,0.0023,0.0611,0.107,0.016,0.124,207.4,0.65,0.02,0.23,0.078,6.45,<0.0144,0.11,0.63,0.045,0.027,<0.001,5.088,0.038,0.161,<0.0036,0.015
1086,2010-02-20T11:30:00,2010-02-21T11:05,42,0.05 - 0.14 µm,0.175,0.0584,<0.0006,<0.0006,0.0042,0.0262,0.1073,0.0032,0.0212,<0.0002,<0.0002,0.034,<0.010,0.038,,,,,,,,,,,,,,,,,
1087,2010-02-20T11:30:00,2010-02-21T11:05,42,0.14 - 0.42 µm,0.804,0.1518,<0.0006,<0.0006,0.0129,0.0562,0.1124,0.0034,0.2455,0.0019,<0.0002,0.048,<0.010,0.049,7.09,0.02,0.05,0.2,0.009,0.58,0.02,0.33,1.23,0.084,0.01,0.004,0.15,<0.0048,0.353,<0.0036,<0.006
1088,2010-02-20T11:30:00,2010-02-21T11:05,42,0.42 - 1.2 µm,4.105,1.0243,<0.0006,0.0309,0.1129,0.0909,1.5774,0.0354,0.3261,0.0055,0.0013,0.039,<0.010,0.047,27.71,0.03,0.01,0.04,0.014,0.9,0.01,0.31,1.19,0.052,0.006,0.012,0.56,<0.0048,0.274,<0.0036,<0.006
1089,2010-02-20T11:30:00,2010-02-21T11:05,42,1.2 - 3.5 µm,17.376,3.7283,0.0026,0.1276,0.5139,0.221,6.5279,0.2187,1.1241,0.0114,0.0084,0.114,0.011,0.124,1144.91,4.37,0.29,0.67,0.313,47.49,0.04,2.56,11.23,0.433,0.189,0.101,26.317,0.121,2.376,<0.0036,0.413
1090,2010-02-20T11:30:00,2010-02-21T11:05,42,3.5 - 10 µm,45.836,9.9195,0.0441,0.4375,1.4536,0.5391,17.5844,0.1469,2.5845,0.002,0.0475,0.244,0.024,0.268,257.91,1.17,0.02,0.05,0.055,10.55,0.01,<0.048,0.12,0.039,0.014,<0.001,5.466,0.015,<0.0048,<0.0036,<0.006
1091,2010-02-21T11:30:00,2010-02-22T11:06,42,0.05 - 0.14 µm,0.474,0.046,<0.0006,0.0018,0.0049,0.0385,0.0838,0.0031,0.0288,<0.0002,<0.0002,0.068,<0.010,0.068,3.63,0.04,0.01,0.04,<0.0096,0.6,<0.0144,0.31,1.35,0.036,0.003,<0.001,0.049,<0.0048,0.169,<0.0036,0.019
1092,2010-02-21T11:30:00,2010-02-22T11:06,42,0.14 - 0.42 µm,1.152,0.0878,0.0235,0.0054,0.0056,0.0467,0.0762,0.0032,0.2662,0.0019,<0.0002,0.095,0.012,0.107,5.32,0.03,0.07,0.19,<0.0096,0.5,0.02,0.31,1.02,0.091,0.016,0.002,0.098,<0.0048,0.24,<0.0036,<0.006
1093,2010-02-21T11:30:00,2010-02-22T11:06,42,0.42 - 1.2 µm,2.633,0.5613,<0.0006,0.0227,0.0502,0.0811,0.8963,0.0309,0.2563,0.0077,<0.0002,0.087,<0.010,0.089,23.07,0.06,0.04,0.13,0.02,1.16,0.02,0.3,1.19,0.056,0.01,0.011,0.498,<0.0048,0.294,<0.0036,0.009
1094,2010-02-21T11:30:00,2010-02-22T11:06,42,1.2 - 3.5 µm,11.852,2.5788,<0.0006,0.0886,0.3483,0.1824,4.4887,0.2748,0.7804,0.0176,0.0034,0.117,0.013,0.13,107.56,0.64,0.02,<0.0336,0.117,8.5,<0.0144,0.08,0.54,0.039,0.029,0.039,2.471,0.019,<0.0048,<0.0036,<0.006
1095,2010-02-21T11:30:00,2010-02-22T11:06,42,3.5 - 10 µm,30.501,6.4512,0.0185,0.2717,0.9093,0.4027,11.4743,0.1764,1.7487,0.0033,0.0235,0.118,0.031,0.149,141.92,1.6,0.03,0.14,0.333,15.13,<0.0144,<0.048,0.24,0.012,0.01,<0.001,2.777,0.018,<0.0048,<0.0036,<0.006
1096,2010-02-22T13:45:00,2010-02-23T11:27,42,0.05 - 0.14 µm,0.429,0.066,<0.0006,<0.0006,0.0048,0.048,0.1239,0.0024,0.0192,<0.0002,<0.0002,0.07,0.008,0.078,4.79,0.02,0,0.37,<0.0096,0.56,<0.0144,0.35,1.26,0.046,0.004,0.002,0.068,<0.0048,0.345,<0.0036,0.006
1097,2010-02-22T13:45:00,2010-02-23T11:27,42,0.14 - 0.42 µm,1.933,0.0632,<0.0006,<0.0006,0.0034,0.0382,0.0861,0.004,0.1518,0.0009,<0.0002,0.096,<0.010,0.111,4.35,0.04,0.07,0.26,<0.0096,1.1,0.04,0.33,1.32,0.053,0.009,0.004,0.069,<0.0048,0.291,<0.0036,<0.006
1098,2010-02-22T13:45:00,2010-02-23T11:27,42,0.42 - 1.2 µm,1.708,0.3505,<0.0006,0.005,0.0363,0.0447,0.5754,0.0203,0.194,0.0014,<0.0002,0.075,0.023,0.098,14.6,0.04,0.03,0.07,0.02,0.77,0.02,0.32,1.31,0.05,0.007,0.013,0.334,<0.0048,0.299,<0.0036,<0.006
1099,2010-02-22T13:45:00,2010-02-23T11:27,42,1.2 - 3.5 µm,10.141,2.1992,<0.0006,0.07,0.2848,0.1657,3.8174,0.193,0.61,0.0101,0.003,0.118,0.029,0.146,37.94,0.09,0,<0.0336,0.008,1.98,0.03,0.07,0.62,0.027,0.009,0.011,0.906,0.011,<0.0048,<0.0036,0.017
1100,2010-02-22T13:45:00,2010-02-23T11:27,42,3.5 - 10 µm,27.367,5.4521,0.0217,0.213,0.7027,0.2946,9.7298,0.1187,1.2039,0.001,0.0144,0.414,0.042,0.455,54.29,0.19,0,<0.0336,<0.0096,2.29,<0.0144,<0.048,0.25,<0.0228,<0.003,<0.001,1.585,0.017,<0.0048,<0.0036,<0.006
